# gridcell_lon=-3.50000, gridcell_lat=37.50000
times_utc,alpha,beta,ssa,pwater,pressure,ozone,albedo
2022-01-01 00:30:00,0.99788,0.01473,0.92165,0.8291,923.87977,0.31749,0.18801
2022-01-01 01:30:00,1.00065,0.01471,0.92166,0.81456,923.87785,0.31749,0.18801
2022-01-01 02:30:00,1.01028,0.0144,0.92167,0.79476,923.87594,0.31748,0.18801
2022-01-01 03:30:00,1.02097,0.01396,0.92168,0.76385,923.87402,0.31748,0.18801
2022-01-01 04:30:00,1.03102,0.0135,0.9217,0.72635,923.87211,0.31748,0.188
2022-01-01 05:30:00,1.0437,0.01312,0.92171,0.68931,923.87019,0.31747,0.188
2022-01-01 06:30:00,1.05972,0.01279,0.92172,0.65457,923.86828,0.31747,0.188
2022-01-01 07:30:00,1.08094,0.01249,0.92173,0.62152,923.86636,0.31747,0.188
2022-01-01 08:30:00,1.10445,0.01219,0.92174,0.59084,923.86445,0.31746,0.188
2022-01-01 09:30:00,0.95015,0.01546,0.92175,0.57073,923.86253,0.31746,0.188
2022-01-01 10:30:00,0.94123,0.01597,0.92176,0.56782,923.86062,0.31745,0.18799
2022-01-01 11:30:00,0.92801,0.01684,0.92177,0.57947,923.85871,0.31745,0.18799
2022-01-01 12:30:00,0.96229,0.01716,0.92178,0.60262,923.85679,0.31745,0.18799
2022-01-01 13:30:00,0.92476,0.01898,0.9218,0.62911,923.85488,0.31744,0.18799
2022-01-01 14:30:00,0.89458,0.02012,0.92181,0.65244,923.85296,0.31744,0.18799
2022-01-01 15:30:00,0.94126,0.0187,0.92182,0.66505,923.85105,0.31744,0.18799
2022-01-01 16:30:00,0.93553,0.01897,0.92183,0.66851,923.84913,0.31743,0.18799
2022-01-01 17:30:00,0.96311,0.01839,0.92184,0.66829,923.84722,0.31743,0.18798
2022-01-01 18:30:00,1.02458,0.01713,0.92185,0.66339,923.8453,0.31742,0.18798
2022-01-01 19:30:00,1.1016,0.0157,0.92186,0.65413,923.84339,0.31742,0.18798
2022-01-01 20:30:00,1.16671,0.01459,0.92187,0.64214,923.84147,0.31742,0.18798
2022-01-01 21:30:00,1.20356,0.01392,0.92188,0.62738,923.83956,0.31741,0.18798
2022-01-01 22:30:00,1.21758,0.01368,0.9219,0.61223,923.83764,0.31741,0.18798
2022-01-01 23:30:00,1.22073,0.01378,0.92191,0.59962,923.83573,0.31741,0.18797
2022-01-02 00:30:00,1.21945,0.0139,0.92192,0.58876,923.83382,0.3174,0.18797
2022-01-02 01:30:00,1.22035,0.01365,0.92193,0.5779,923.8319,0.3174,0.18797
2022-01-02 02:30:00,1.22528,0.01313,0.92194,0.56855,923.82999,0.3174,0.18797
2022-01-02 03:30:00,1.22785,0.01307,0.92195,0.56447,923.82807,0.31739,0.18797
2022-01-02 04:30:00,1.22494,0.01336,0.92196,0.56811,923.82616,0.31739,0.18797
2022-01-02 05:30:00,1.23516,0.01302,0.92197,0.57771,923.82424,0.31738,0.18797
2022-01-02 06:30:00,1.25028,0.0127,0.92198,0.58523,923.82233,0.31738,0.18796
2022-01-02 07:30:00,1.26587,0.01259,0.922,0.58573,923.82041,0.31738,0.18796
2022-01-02 08:30:00,1.27434,0.01294,0.92201,0.58104,923.8185,0.31737,0.18796
2022-01-02 09:30:00,1.2794,0.01327,0.92202,0.57779,923.81658,0.31737,0.18796
2022-01-02 10:30:00,1.29058,0.01325,0.92203,0.58095,923.81467,0.31737,0.18796
2022-01-02 11:30:00,1.29962,0.01346,0.92204,0.5926,923.81276,0.31736,0.18796
2022-01-02 12:30:00,1.18926,0.01645,0.92205,0.61731,923.81084,0.31736,0.18795
2022-01-02 13:30:00,1.20537,0.01707,0.92206,0.65042,923.80893,0.31735,0.18795
2022-01-02 14:30:00,1.23058,0.01713,0.92207,0.67994,923.80701,0.31735,0.18795
2022-01-02 15:30:00,1.12306,0.01961,0.92208,0.68759,923.8051,0.31735,0.18795
2022-01-02 16:30:00,1.17602,0.01779,0.9221,0.67345,923.80318,0.31734,0.18795
2022-01-02 17:30:00,1.20804,0.01689,0.92211,0.65308,923.80127,0.31734,0.18795
2022-01-02 18:30:00,1.2219,0.01669,0.92212,0.63482,923.79935,0.31734,0.18794
2022-01-02 19:30:00,1.22963,0.01635,0.92213,0.62346,923.79744,0.31733,0.18794
2022-01-02 20:30:00,1.23495,0.01552,0.92214,0.62075,923.79552,0.31733,0.18794
2022-01-02 21:30:00,1.24074,0.01459,0.92215,0.62412,923.79361,0.31733,0.18794
2022-01-02 22:30:00,1.24689,0.01379,0.92216,0.62885,923.79169,0.31732,0.18794
2022-01-02 23:30:00,1.25414,0.01312,0.92217,0.63212,923.78978,0.31732,0.18794
2022-01-03 00:30:00,1.26577,0.0124,0.92218,0.63276,923.78787,0.31731,0.18794
2022-01-03 01:30:00,1.27608,0.01172,0.9222,0.62977,923.78595,0.31731,0.18793
2022-01-03 02:30:00,1.28138,0.0112,0.92221,0.62457,923.78404,0.31731,0.18793
2022-01-03 03:30:00,1.28067,0.01083,0.92222,0.61846,923.78212,0.3173,0.18793
2022-01-03 04:30:00,1.27627,0.01058,0.92223,0.61493,923.78021,0.3173,0.18793
2022-01-03 05:30:00,1.27136,0.01041,0.92224,0.61451,923.77829,0.3173,0.18793
2022-01-03 06:30:00,1.26557,0.01025,0.92225,0.61619,923.77638,0.31729,0.18793
2022-01-03 07:30:00,1.26092,0.01014,0.92226,0.62312,923.77446,0.31729,0.18792
2022-01-03 08:30:00,1.25531,0.01014,0.92227,0.63926,923.77255,0.31728,0.18792
2022-01-03 09:30:00,1.24679,0.01033,0.92229,0.672,923.77063,0.31728,0.18792
2022-01-03 10:30:00,1.22674,0.01093,0.9223,0.72619,923.76872,0.31728,0.18792
2022-01-03 11:30:00,1.20189,0.01151,0.92231,0.79684,923.7668,0.31727,0.18792
2022-01-03 12:30:00,1.15931,0.01217,0.92232,0.8764,923.76489,0.31727,0.18792
2022-01-03 13:30:00,1.15136,0.01247,0.92233,0.95108,923.76298,0.31727,0.18792
2022-01-03 14:30:00,1.14345,0.01286,0.92234,1.00945,923.76106,0.31726,0.18791
2022-01-03 15:30:00,1.1418,0.01319,0.92235,1.044,923.75915,0.31726,0.18791
2022-01-03 16:30:00,1.14646,0.01345,0.92236,1.05552,923.75723,0.31726,0.18791
2022-01-03 17:30:00,1.15773,0.01351,0.92237,1.05409,923.75532,0.31725,0.18791
2022-01-03 18:30:00,1.17766,0.01309,0.92239,1.04011,923.7534,0.31725,0.18791
2022-01-03 19:30:00,1.19887,0.01263,0.9224,1.01864,923.75149,0.31724,0.18791
2022-01-03 20:30:00,1.21901,0.01224,0.92241,0.99512,923.74957,0.31724,0.1879
2022-01-03 21:30:00,1.235,0.01209,0.92242,0.98191,923.74766,0.31724,0.1879
2022-01-03 22:30:00,1.242,0.01226,0.92243,0.98176,923.74574,0.31723,0.1879
2022-01-03 23:30:00,1.24814,0.01229,0.92244,0.98584,923.74383,0.31723,0.1879
2022-01-04 00:30:00,1.25687,0.0122,0.92245,0.98848,923.74192,0.31723,0.1879
